acronym,total_counts
"רמ""ט",6.0
"תו""ל",7.0
"אט""ל",7.0
"לבית""ר",38.0
"התר""ש",8.0
"ב""פרשת",8.0
"תר""ש",14.0
"נק""ל",14.0
"ל""משפט",6.0
"נ""מ",251.0
"בסב""ר",11.0
"צה""לי",26.0
"הסב""ר",6.0
"למכ""ם",30.0
"ממר""ם",34.0
"ה""מגן",8.0
"משהב""ט",9.0
"אג""ת",14.0
"בצה""ל",1853.0
"בנק""י",33.0
"למק""י",9.0
"ל""יד",8.0
"בע""ח",14.0
"הנ""מ",151.0
"שבצה""ל",7.0
"קמ""ש",441.0
"ל""מרכז",15.0
"לממר""ם",7.0
"מזי""א",25.0
"ל""כפר",8.0
"ל""נווה",6.0
"חטמ""ר",7.0
"התשע""ו",10.0
"במג""ב",49.0
"והימ""מ",16.0
"כמפכ""ל",8.0
"מחט""ב",6.0
"סמנכ""ל",39.0
"נת""ע",26.0
"וכיו""ר",28.0
"במכ""ם",33.0
"שהמכ""ם",8.0
"ב""פרויקט",17.0
"תע""ל",73.0
"ס""ה",10.0
"מחד""ש",6.0
"בל""ד",62.0
"ותע""ל",8.0
"רע""ם",69.0
"שב""ס",20.0
"צל""שי",8.0
"גפ""ת",6.0
"ע""ח",6.0
"אפ""ק",30.0
"ס""ב",8.0
"ב""על",25.0
"כ""צ",6.0
"ב""שיר",18.0
"הרס""ג",6.0
"ק""א",16.0
"ש""ך",12.0
"ל""ו",28.0
"באש""ף",65.0
"אט""א",18.0
"אח""מים",12.0
"וכטב""מים",9.0
"סמ""ג",12.0
"העב""מים",10.0
"ודו""חות",12.0
"אח""מ",9.0
"ב""ארגון",8.0
"שמנכ""ל",6.0
"מ""ר",273.0
"תרמ""ז",27.0
"ר""ש",15.0
"הרמטכ""ל",976.0
"הדנ""א",29.0
"הדו""ח",463.0
"תר""ף",28.0
"וד""ר",162.0
"מ""ה",12.0
"ל""גן",6.0
"ונגמ""שים",13.0
"ו""בן",9.0
"התשפ""ג",7.0
"כבג""ץ",11.0
"ס""מ",1174.0
"מלש""בים",12.0
"ב""תאוריה",7.0
"ב""כאן",9.0
"נ""ט",362.0
"ב""לא",10.0
"סל""ה",9.0
"הרש""ק",13.0
"לקק""ל",19.0
"באופ""א",9.0
"כ""מגן",14.0
"אל""ם",261.0
"רמ""א",12.0
"ש""א",6.0
"מלכ""ר",26.0
"הרא""ם",14.0
"ברש""י",10.0
"מוהר""ן",53.0
"התשע""ג",8.0
"תקס""ג",8.0
"תרנ""ב",22.0
"תקפ""א",7.0
"תקע""ג",7.0
"אב""כ",40.0
"תקפ""ח",10.0
"תרכ""ז",14.0
"ואב""ד",9.0
"תקצ""ו",7.0
"ב""יום",31.0
"ו""מה",17.0
"ו""אם",7.0
"כ""הסכם",6.0
"הר""מים",14.0
"ה""שיר",8.0
"ו""אבא",11.0
"חי""ר",543.0
"והאר""י",6.0
"מ""ז",29.0
"ו""אני",27.0
"וליו""ר",18.0
"כ""ראש",11.0
"ו""זה",12.0
"ה""אנטי",6.0
"קע""ם",13.0
"ה""ניו",32.0
"ב""חיי",12.0
"ב""יוליסס",20.0
"ב""דיוקן",10.0
"ל""דיוקן",6.0
"ב""ג",13.0
"אופ""ק",83.0
"ל""איש",16.0
"מ""צ",23.0
"כ""שנת",9.0
