,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts
327,"אתב""ש",7.0,0.0,0.0,0.0,7.0
328,"תר""ך",7.0,0.0,0.0,0.0,7.0
329,"כ""מדינה",5.0,8.0,0.0,0.0,13.0
330,"בשב""ס",8.0,0.0,0.0,0.0,8.0
331,"באמ""ן",42.0,10.0,0.0,0.0,52.0
332,"מג""ן",13.0,0.0,0.0,0.0,13.0
333,"ל""ארץ",18.0,0.0,0.0,0.0,18.0
334,"התנ""כית",30.0,2.0,0.0,0.0,32.0
335,"מג""ד",33.0,0.0,0.0,0.0,33.0
336,"התנ""כיים",11.0,0.0,0.0,0.0,11.0
337,"ב""ר",39.0,0.0,0.0,0.0,39.0
338,"ש""ג",8.0,0.0,0.0,0.0,8.0
339,"תקס""ו",8.0,0.0,0.0,0.0,8.0
340,"התשנ""ד",11.0,1.0,0.0,0.0,12.0
341,"כ""צבא",3.0,11.0,0.0,0.0,14.0
342,"סא""ל",254.0,20.0,0.0,0.0,274.0
343,"ש""אין",38.0,5.0,0.0,0.0,43.0
344,"ואש""ף",17.0,6.0,0.0,0.0,23.0
345,"ל""זכות",4.0,2.0,0.0,0.0,6.0
346,"ל""י",43.0,0.0,0.0,0.0,43.0
347,"הנגמ""ש",42.0,0.0,0.0,0.0,42.0
348,"כחי""ר",6.0,0.0,0.0,0.0,6.0
349,"ל""אדם",6.0,0.0,0.0,0.0,6.0
350,"חרל""פ",109.0,5.0,0.0,0.0,114.0
351,"ל""איחוד",10.0,0.0,0.0,0.0,10.0
352,"מהר""ץ",15.0,0.0,0.0,0.0,15.0
353,"לצה""ל",503.0,111.0,0.0,0.0,614.0
354,"המג""ד",48.0,0.0,0.0,0.0,48.0
355,"למזכ""ל",43.0,6.0,0.0,0.0,49.0
356,"ב""ויקיפדיה",6.0,0.0,0.0,0.0,6.0
357,"ליש""ט",247.0,2.0,0.0,0.0,249.0
358,"מהאצ""ל",13.0,0.0,0.0,0.0,13.0
359,"ב""הגנה",40.0,0.0,0.0,0.0,40.0
360,"מ""ישראל",6.0,0.0,0.0,0.0,6.0
361,"והלח""י",93.0,0.0,0.0,0.0,93.0
362,"הצ""ח",12.0,0.0,0.0,0.0,12.0
363,"רס""ן",144.0,2.0,0.0,0.0,146.0
364,"והצה""ר",6.0,0.0,0.0,0.0,6.0
365,"בית""רי",9.0,0.0,0.0,0.0,9.0
366,"גדנ""עים",9.0,0.0,0.0,0.0,9.0
367,"הצה""ר",80.0,0.0,0.0,0.0,80.0
368,"ובית""ר",37.0,0.0,0.0,0.0,37.0
369,"והפלמ""ח",22.0,0.0,0.0,0.0,22.0
370,"נ""א",36.0,1.0,0.0,0.0,37.0
371,"ב""שבת",8.0,0.0,0.0,0.0,8.0
372,"בית""רים",22.0,0.0,0.0,0.0,22.0
373,"בכ""ט",59.0,0.0,0.0,0.0,59.0
374,"ה""סוס",8.0,0.0,0.0,0.0,8.0
375,"בלח""י",13.0,0.0,0.0,0.0,13.0
376,"הל""ה",139.0,0.0,0.0,0.0,139.0
377,"ה""רן",6.0,0.0,0.0,0.0,6.0
378,"ה""לי",6.0,0.0,0.0,0.0,6.0
379,"פלמ""ח",123.0,0.0,0.0,0.0,123.0
380,"שהאצ""ל",12.0,0.0,0.0,0.0,12.0
381,"בתש""ח",42.0,0.0,0.0,0.0,42.0
382,"גדנ""ע",76.0,0.0,0.0,0.0,76.0
383,"ומפא""י",6.0,0.0,0.0,0.0,6.0
384,"ומק""י",24.0,0.0,0.0,0.0,24.0
385,"ב""מוזיאון",7.0,0.0,0.0,0.0,7.0
386,"בדר""כ",25.0,0.0,0.0,0.0,25.0
387,"ב""שינויים",7.0,0.0,0.0,0.0,7.0
388,"לסמ""ק",34.0,0.0,0.0,0.0,34.0
389,"ד""ש",73.0,0.0,5.0,0.0,78.0
