base_acronym,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts,n_united
"ה""ד","['מה""ד']",9.0,0.0,0.0,0.0,9.0,1
"ה""ו","['ה""ו']",4.0,0.0,0.0,0.0,4.0,1
"ה""ז","['ה""ז']",5.0,0.0,0.0,0.0,5.0,1
"ה""ט","['מה""ט']",6.0,0.0,0.0,0.0,6.0,1
"ה""לא","['וה""לא']",5.0,0.0,0.0,0.0,5.0,1
"ה""מ","['ה""מ']",4.0,0.0,0.0,0.0,4.0,1
"ה""צ","['ה""צ']",5.0,0.0,0.0,0.0,5.0,1
"ה""ש","['ה""ש']",5.0,2.0,0.0,0.0,7.0,1
"האו""ם","['מהאו""ם']",13.0,4.0,1.0,0.0,18.0,1
"הבינ""ל","['הבינ""ל']",16.0,10.0,0.0,0.0,26.0,1
"הגרי""ש","['הגרי""ש']",13.0,0.0,0.0,0.0,13.0,1
"הו""ד","['הו""ד']",9.0,0.0,0.0,0.0,9.0,1
"הוי""ו","['הוי""ו']",5.0,0.0,0.0,0.0,5.0,1
"הי""ד","['הי""ד']",26.0,0.0,0.0,0.0,26.0,1
"הי""ז","['הי""ז']",7.0,0.0,0.0,0.0,7.0,1
"הי""ם","['הי""ם']",5.0,0.0,0.0,0.0,5.0,1
"הל""א","['הל""א']",7.0,0.0,0.0,0.0,7.0,1
"הל""ץ","['בהל""ץ']",8.0,0.0,0.0,0.0,8.0,1
"המהו""ת","['המהו""ת']",7.0,0.0,0.0,0.0,7.0,1
"הנ""ל","['הנ""ל']",565.0,7.0,0.0,0.0,572.0,1
"הקב""ה","['מהקב""ה', 'והקב""ה', 'הקב""ה']",144.0,0.0,0.0,0.0,144.0,3
"הר""י","['הר""י']",11.0,0.0,0.0,0.0,11.0,1
"הר""מ","['הר""מ']",6.0,0.0,0.0,0.0,6.0,1
"הר""ש","['הר""ש', 'מהר""ש']",17.0,0.0,0.0,0.0,17.0,2
"הרא""ה","['הרא""ה']",70.0,0.0,0.0,0.0,70.0,1
"הראי""ה","['הראי""ה', 'והראי""ה']",244.0,0.0,0.0,0.0,244.0,2
"הרגמ""ה","['הרגמ""ה']",4.0,0.0,0.0,0.0,4.0,1
"הרוא""ה","['הרוא""ה']",10.0,0.0,0.0,0.0,10.0,1
"הריא""ה","['הריא""ה']",4.0,0.0,0.0,0.0,4.0,1
"הריי""צ","['הריי""צ']",18.0,0.0,0.0,0.0,18.0,1
"הרמב""ם","['והרמב""ם', 'להרמב""ם']",73.0,0.0,0.0,0.0,73.0,2
"הרמח""ל","['להרמח""ל']",5.0,0.0,0.0,0.0,5.0,1
"הרש""א","['מהרש""א']",10.0,0.0,0.0,0.0,10.0,1
"הרש""ב","['הרש""ב']",21.0,0.0,0.0,0.0,21.0,1
"הרש""ל","['מהרש""ל']",12.0,0.0,0.0,0.0,12.0,1
"הרש""פ","['הרש""פ']",4.0,33.0,0.0,0.0,37.0,1
"הרש""ק","['הרש""ק']",12.0,1.0,0.0,0.0,13.0,1
"הרשב""א","['הרשב""א']",81.0,0.0,0.0,0.0,81.0,1
"התש""ם","['התש""ם']",4.0,0.0,0.0,0.0,4.0,1
"התשי""ח","['התשי""ח']",5.0,0.0,0.0,0.0,5.0,1
"התשכ""א","['התשכ""א']",6.0,0.0,0.0,0.0,6.0,1
"התשכ""ה","['התשכ""ה']",9.0,1.0,0.0,0.0,10.0,1
